cityID,time,t,fid,x,y,water,PC1,PC2,PC3,PC4,water_norm
16,2010,3,78,113.6135136,33.88226127,441911.3125,1.790269095,-1.499004918,0.866197381,-0.694976098,0.3181971766578225
17,2010,3,79,112.268591,30.97568911,791700.0625,1.137485934,-1.756820068,-0.02099646,-2.932021743,0.5808802132534636
18,2010,3,80,113.4276925,23.71031747,1315200.125,0.083153794,-2.342639074,0.907532759,-2.465813589,0.9740163163314154
19,2010,3,81,108.7866601,23.82858447,658332.0625,1.034111401,-1.856967054,-0.52245821,-2.197362521,0.480724015477842
20,2010,3,82,109.74311,19.19713384,879473.9375,-0.944833299,-3.131161486,0.653872886,-2.399430401,0.6467963069493479
21,2010,3,83,107.8751823,30.05912925,736551.9375,0.997610021,-0.392597105,-1.039713499,-1.426979598,0.5394652822771072
22,2010,3,84,102.6923498,30.62979532,255966.5938,2.707437743,0.202326147,-1.000939255,-0.193085908,0.17855711291352463
23,2010,3,85,106.8741124,26.81589901,690274.5,0.732843171,-0.406934373,-2.47040303,-1.005378326,0.5047120267525513
24,2010,3,86,101.861664,24.22399975,741535.375,1.455677168,0.213709977,-1.936305807,-0.392120384,0.5432077253807936
25,2010,3,87,88.44235547,31.49119642,295689.625,-6.644054668,-0.538332696,-0.339730687,1.108367373,0.20838816510831185
26,2010,3,88,108.367283,33.77575343,379821.7188,1.4863073,1.293922823,-1.195065621,2.164702977,0.2715693676899652
27,2010,3,89,96.43045075,40.50407365,80397.625,-0.376283063,0.098309875,-1.963636475,1.753457379,0.04670899070733768
28,2010,3,90,96.03756481,35.67094527,122420.0078,-3.633143172,-2.209315528,-3.313622406,0.729773452,0.07826680129698198
29,2010,3,91,105.9722025,37.19338985,253212.75,-0.438104648,0.10482611,-0.851278347,0.720076359,0.17648904167997556
30,2010,3,92,85.19105645,41.11736074,51799.90234,-2.066040752,-1.750294911,2.433911765,1.540842192,0.025232780771915875
0,2015,4,93,116.4104734,40.18506957,381122.3125,-3.855057228,1.034087604,4.884083134,1.602295389,0.2725460826428994
1,2015,4,94,117.3328025,39.2945395,216640.0156,-2.078551523,2.029481999,2.324270765,2.430859747,0.14902378749785034
2,2015,4,95,115.0556983,38.8862,370782.2813,-0.016482094,2.479083832,1.28103596,2.864909604,0.264780964999437
3,2015,4,96,112.2910057,37.57371516,351173.5,-0.012197071,3.2200233,-1.09619193,1.795522157,0.25005523635372207
4,2015,4,97,111.624073,41.58407166,228091.5469,0.624283962,2.703322506,-0.51574252,0.48559801,0.15762361529549684
5,2015,4,98,124.0472795,41.55091067,586318.125,-0.549435972,2.682322703,0.980442682,-0.522197499,0.4266432602228239
6,2015,4,99,126.1893961,43.66493432,547887,0.672090658,4.021538279,0.776353243,-1.228177283,0.3977823988749771
7,2015,4,100,128.135853,46.95166178,334613.4375,3.121644206,3.962949106,-0.739192379,-0.919750474,0.23761902305722923
8,2015,4,101,121.4151598,31.08465728,215459.9844,-1.956052445,-2.970555589,2.89799678,-1.163999269,0.1481376121165849
9,2015,4,102,120.5538215,32.20300618,753830,1.793984764,-0.249551746,2.0649636,0.815101457,0.5524406965063792
10,2015,4,103,120.0709758,29.17555776,834050,-2.69154414,-1.984547024,3.030000012,-1.470684254,0.612684009636668
11,2015,4,104,117.2258163,31.82631484,338220.0313,2.015765279,0.486475038,0.956910271,1.279834441,0.24032748927048225
12,2015,4,105,117.9817861,26.08380415,867913.125,-1.805352517,-2.81501883,2.476808075,-2.210060386,0.6381144115681704
13,2015,4,106,111.7080139,27.60713887,809427.625,0.755350031,-2.123787865,-0.695358858,-3.663193018,0.5941931912978947
14,2015,4,107,115.7205187,27.61361806,827750,0.566977734,1.721220942,2.524272174,3.184588151,0.6079528593908339
15,2015,4,108,118.1537918,36.35127141,488216.0313,2.972815947,1.608575201,1.381920701,3.059231968,0.35297091979018813
16,2015,4,109,113.6135136,33.88226127,447806.9063,1.594275153,-1.212930032,1.125728828,-0.525096385,0.3226246274603953
17,2015,4,110,112.268591,30.97568911,800730,0.942383887,-1.721263896,0.147413698,-2.653087373,0.5876614816698116
18,2015,4,111,113.4276925,23.71031747,1349800,-0.042505506,-2.459273629,1.136806273,-2.380830089,1
19,2015,4,112,108.7866601,23.82858447,668168.5625,0.626873182,-1.770518182,0.218035068,-2.011979847,0.48811099315929407
20,2015,4,113,109.74311,19.19713384,887866.8125,-2.091684561,-3.753742981,2.088355766,-2.358561615,0.6530991565714916
21,2015,4,114,107.8751823,30.05912925,733949.25,0.441566586,-0.744740025,-0.91834346,-1.717447786,0.5375107258317969
22,2015,4,115,102.6923498,30.62979532,256561.5781,2.315579892,0.242734661,-0.554930207,-0.271935301,0.17900393197974884
23,2015,4,116,106.8741124,26.81589901,695768.375,0.161077022,-0.916827812,-2.997574901,-0.941388728,0.5088377962853818
24,2015,4,117,101.861664,24.22399975,788613.3125,1.26315042,0.045169517,-1.113427866,-0.449465357,0.5785621373770622
25,2015,4,118,88.44235547,31.49119642,245423.1406,-8.189952862,-0.344832759,0.615376984,1.487129741,0.17063923018350535
26,2015,4,119,108.367283,33.77575343,381569.8438,1.14367301,1.017256032,-0.147896526,2.030684027,0.2728821680111555
27,2015,4,120,96.43045075,40.50407365,60599.42188,-0.833179052,0.490420092,-0.378689379,1.406702357,0.03184101077745459
28,2015,4,121,96.03756481,35.67094527,117360,-3.401468823,-2.204996985,-2.915872037,0.288100872,0.07446685571811007
29,2015,4,122,105.9722025,37.19338985,251021.0156,-1.084553264,0.061024164,-0.018307465,0.074471316,0.17484310124420363
30,2015,4,123,85.19105645,41.11736074,65999.75781,-2.715348762,-1.651146479,4.38234427,1.459951794,0.035896534692185816
0,2020,5,124,116.4104734,40.18506957,232340.0156,-7.489186015,0.045878154,9.576000306,2.033679141,0.160814114300961
1,2020,5,125,117.3328025,39.2945395,219280.0156,-1.208294564,2.780936644,2.60937091,1.880979379,0.15100636474372373
2,2020,5,126,115.0556983,38.8862,391924.4688,0.477736145,3.076284794,1.024509496,2.746499281,0.280658245251516
3,2020,5,127,112.2910057,37.57371516,352740.0313,0.408751226,3.31380296,-1.27237908,1.314263749,0.25123166412278586
4,2020,5,128,111.624073,41.58407166,296052.8438,1.210107286,2.68692716,-0.654926124,0.074257094,0.20866093379321846
5,2020,5,129,124.0472795,41.55091067,607334,-0.505260223,3.462188393,1.411276254,-0.970661812,0.4424256827899145
6,2020,5,130,126.1893961,43.66493432,556255.4375,0.431819586,4.392401049,0.328985208,-1.20237453,0.4040668965155125
7,2020,5,131,128.135853,46.95166178,348035.4688,3.76118497,4.089931059,-0.984107026,-0.98159517,0.24769864951510054
