cityID,time,t,fid,x,y,soil,PC1,PC2,PC3,PC4,es
30,2020,5,154,85.19105645,41.11736074,1109.21521,-2.644477202,-1.925528063,4.243941636,0.884236203,0.0397379100544831
0,2023,6,155,116.4104734,40.18506957,2061.657227,-3.854848759,0.130918942,4.215524821,1.329712884,0.0763798266496405
1,2023,6,156,117.3328025,39.2945395,195.2551727,-0.580710675,2.861220014,1.907815651,1.821071095,0.004576454700447029
2,2023,6,157,115.0556983,38.8862,1141.02832,0.496255713,3.168145806,0.86029399,2.626467571,0.04096180957009273
3,2023,6,158,112.2910057,37.57371516,2014.439941,0.26734903,3.325633848,-1.359035806,1.257219355,0.07456330467288935
4,2023,6,159,111.624073,41.58407166,385.0744324,0.307588583,3.068954608,-0.517645361,0.337053253,0.011879095027035984
5,2023,6,160,124.0472795,41.55091067,1692.13147,-0.660064674,3.500827066,1.104497905,-0.894094106,0.06216359959740998
6,2023,6,161,126.1893961,43.66493432,1600.575562,0.067426784,4.553774654,0.028908507,-1.165623673,0.05864130229757351
7,2023,6,162,128.135853,46.95166178,887.1220703,3.662858827,3.97334447,-2.114883075,-0.610368326,0.03119364367816672
8,2023,6,163,121.4151598,31.08465728,232.7103424,-2.188190565,-3.139376466,3.231731555,-2.303245296,0.006017412973715718
9,2023,6,164,120.5538215,32.20300618,299.2526855,1.754112133,0.074389025,1.788887251,1.112197579,0.00857739976807881
10,2023,6,165,120.0709758,29.17555776,18110.43945,-2.595959904,-2.334035546,2.286189971,-1.125134904,0.6938012855656125
11,2023,6,166,117.2258163,31.82631484,5290.241699,2.176299551,1.254328758,0.46093629,1.715373816,0.20058846174962303
12,2023,6,167,117.9817861,26.08380415,20238.9043,-2.313677891,-2.911822998,2.798846662,-2.129829548,0.7756866183390239
13,2023,6,168,111.7080139,27.60713887,8484.285156,0.487358144,-1.98483266,-1.204468842,-3.474542947,0.32346825061209
14,2023,6,169,115.7205187,27.61361806,9121.769531,1.000435336,2.734954171,1.828631653,3.246550526,0.34799325988566354
15,2023,6,170,118.1537918,36.35127141,823.7810669,3.165075504,2.07051811,0.998703396,3.07615514,0.028756817370412198
16,2023,6,171,113.6135136,33.88226127,1765.534912,1.510252794,-0.765641671,0.117017658,-0.4278678,0.0649875434717398
17,2023,6,172,112.268591,30.97568911,9035.791992,0.743725774,-1.626600498,-0.014711178,-2.563480906,0.34468557106380965
18,2023,6,173,113.4276925,23.71031747,9940.875,-0.130972638,-2.708457492,0.786200511,-2.537874929,0.3795055133793429
19,2023,6,174,108.7866601,23.82858447,8934.011719,0.230816833,-2.122851166,-0.522523772,-1.783223003,0.34076992663849826
20,2023,6,175,109.74311,19.19713384,4757.315918,-4.037160281,-4.007677076,3.893636441,-1.903302487,0.1800859832047153
21,2023,6,176,107.8751823,30.05912925,16438.69922,-0.179990398,-1.139115316,-1.751730841,-1.710891722,0.6294868548883806
22,2023,6,177,102.6923498,30.62979532,12897.70313,1.749268132,0.27282892,-1.370952854,-0.639931554,0.4932592619455144
23,2023,6,178,106.8741124,26.81589901,9206.745117,-0.873910136,-1.50249613,-3.592225138,-1.205429023,0.35126240202687653
24,2023,6,179,101.861664,24.22399975,15740.73242,0.628970654,0.202585994,-1.472593592,-0.448282093,0.6026349932366399
25,2023,6,180,88.44235547,31.49119642,8467.661133,-9.004136269,-0.391104022,0.089900218,1.219201095,0.3228286987513262
26,2023,6,181,108.367283,33.77575343,6285.38623,0.979862331,1.097840675,-0.571695213,1.76748598,0.2388732100641538
27,2023,6,182,96.43045075,40.50407365,2731.484375,-0.988375349,0.638046325,-0.225032023,1.382723872,0.10214911239314016
28,2023,6,183,96.03756481,35.67094527,2403.687012,-3.706971052,-2.090612409,-3.63935693,0.52846862,0.0895382411581739
29,2023,6,184,105.9722025,37.19338985,581.6536255,-1.864084672,0.146585674,0.305969066,0.084363049,0.019441800440433914
30,2023,6,185,85.19105645,41.11736074,1134.801392,-3.298438511,-1.574821295,5.194149181,1.171315546,0.04072225002489467
